Symbol,ETF Name,Asset Class,Total Assets ,YTD Price Change,Avg. Daily Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETFdb.com Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,ETFdb Pro Tools,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
SIZE,iShares Edge MSCI USA Size Factor ETF,Equity,"$704,514,433.00",3.04%,"77,314",$98.88,0.36%,No,No,4.27%,6.15%,13.34%,30.27%,68.01%,"-$764,976,847.00","-$13,620,055.50","-$92,933,235.00","$401,956,331.00","$597,938,698.00","$471,449,205.00",All Cap Equities,2013-04-16,0.15%,N/A,$1.55,2020-09-23,$0.43,1.57%,17.79,1.08,619,3.00%,35%,15%,1099,$90.19,$98.81,$98.61,$99.21,62.93,A-,B-,A-,A-,A,A-,A-,5.47,13.78%,37.89%,241.8,6.53%,6.18%
CGW,Invesco S&P Global Water Index ETF,Equity,"$702,649,850.00",5.62%,"35,923",$43.44,0.56%,No,No,3.76%,6.47%,17.49%,31.74%,68.34%,"-$12,188,403.20",$0.00,$0.00,"-$14,588,655.20","-$42,747,697.60","$125,778,871.20",Water Equities ,2007-05-14,0.62%,Charles Schwab,$0.61,2019-12-23,$0.61,1.41%,23.76,0.83,51,53.71%,35%,15%,1099,$39.65,$43.29,$43.26,$43.57,67.60,A+,A,A-,A-,A+,A+,A+,6.15,0.00%,55.47%,263.77,0.84%,23.70%
FNCL,Fidelity MSCI Financials Index ETF,Equity,"$699,700,561.00",-17.53%,"140,958",$35.79,0.03%,No,No,4.28%,3.49%,-6.89%,-0.52%,43.44%,"-$124,077,827.00",$0.00,"-$5,222,532.00","-$116,353,156.50","-$125,801,982.50","$483,789,172.50",Financials Equities,2013-10-21,0.08%,Fidelity,$0.97,2020-09-18,$0.22,2.70%,13.81,1.18,352,41.39%,35%,15%,1099,$32.46,$36.07,$35.59,$35.99,58.72,N/A,N/A,A+,N/A,N/A,N/A,A,4.76,19.92%,28.12%,26.73,8.29%,0.19%
RYH,Invesco S&P 500® Equal Weight Health Care ETF,Equity,"$695,711,850.00",10.70%,"7,152",$243.97,0.76%,No,No,4.85%,4.37%,27.45%,39.78%,73.90%,"-$107,031,647.00",$0.00,"-$11,900,640.00","-$117,907,881.50","-$146,852,598.00","-$139,692,968.50",Health & Biotech Equities,2006-11-07,0.40%,Charles Schwab,$1.32,2020-09-21,$0.28,0.55%,18.63,0.97,64,16.82%,35%,15%,1099,$225.55,$243.98,$243.42,$244.41,59.33,B,C+,B+,B+,A,B-,B,7.03,81.19%,81.35%,21.01,0.00%,15.77%
DHS,WisdomTree US High Dividend Fund,Equity,"$694,078,246.00",-13.33%,"50,703",$64.92,-0.23%,No,No,3.30%,2.95%,-7.93%,2.49%,31.18%,"-$72,078,417.50",$0.00,"-$9,589,793.50","-$75,918,816.50","-$425,872,690.50","-$295,023,878.50",Large Cap Value Equities,2006-06-16,0.38%,E*TRADE,$2.58,2020-09-22,$0.12,3.96%,18.93,0.89,294,41.79%,35%,15%,1099,$60.62,$65.46,$64.72,$65.32,57.62,A-,B+,B,B,A-,A,B+,4.9,7.72%,29.76%,439.0,15.12%,5.54%
BSJK,Invesco BulletShares 2020 High Yield Corporate Bond ETF,Bond,"$690,337,465.00",-1.00%,"141,800",$23.36,0.00%,No,No,0.04%,-0.09%,-0.15%,4.84%,20.48%,"-$462,062,323.00",$0.00,"-$21,091,903.00","-$450,116,902.00","$147,636,589.00","$633,679,748.00",Government Bonds,2013-09-24,0.42%,Charles Schwab,$0.55,2020-09-21,$0.01,2.33%,0.00,0.18,13,98.53%,35%,15%,1099,$23.35,$23.39,N/A,N/A,49.09,N/A,N/A,B+,N/A,N/A,A-,B,4.45,94.21%,20.83%,198.21,3.52%,0.00%
JAGG,JPMorgan U.S. Aggregate Bond ETF,Bond,"$689,533,952.00",6.43%,"163,618",$27.86,0.00%,No,No,-0.14%,-0.34%,6.24%,N/A,N/A,"$334,879,862.50",$0.00,$0.00,"$437,575,370.00","$632,241,389.00","$632,241,389.00",Total Bond Market,2018-12-12,0.07%,N/A,$0.60,2020-10-01,$0.04,2.14%,0.00,0.06,20,79.55%,39%,20%,1099,$27.83,$28.01,$27.82,$27.88,44.93,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.3,77.17%,60.73%,297.48,2.27%,1.14%
LVHD,Legg Mason Low Volatility High Dividend ETF,Equity,"$689,089,782.00",-7.55%,"108,198",$30.85,-0.16%,No,No,2.78%,4.29%,-3.56%,11.73%,N/A,"-$76,996,992.50",$0.00,"$30,096,503.00","$20,530,476.00","$348,337,583.00","$722,530,507.35",Volatility Hedged Equity,2015-12-28,0.27%,N/A,$1.09,2020-08-06,$0.28,3.54%,17.51,0.80,77,26.86%,39%,20%,1099,$28.57,$31.02,$30.73,$31.03,60.76,N/A,N/A,B+,N/A,N/A,N/A,N/A,6.0,28.25%,50.24%,681.1,13.79%,6.20%
XMMO,Invesco S&P MidCap Momentum ETF,Equity,"$685,202,424.00",17.44%,"82,769",$71.20,1.21%,No,No,5.91%,12.10%,24.76%,84.39%,140.53%,"$7,418,808.50",$0.00,"$6,470,467.50","$51,305,808.50","-$33,908,317.50","-$33,908,317.50",Mid Cap Growth Equities,2005-03-03,0.39%,N/A,$0.61,2020-09-21,$0.16,0.86%,26.97,1.15,79,27.76%,39%,20%,1099,$60.43,$71.31,$70.85,$71.45,69.09,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.97,73.41%,30.62%,94.01,6.26%,6.28%
REGL,ProShares S&P MidCap 400 Dividend Aristocrats ETF,Equity,"$681,406,418.00",-4.35%,"47,189",$56.42,-0.19%,No,No,4.53%,4.70%,2.24%,14.13%,57.39%,"-$1,874,673.10",$0.00,"-$507,992.10","$46,326,515.20","$298,291,328.75","$659,968,496.00",Small Cap Blend Equities,2015-02-05,0.40%,N/A,$1.35,2020-09-23,$0.30,2.39%,17.18,0.92,51,23.06%,39%,20%,1099,$51.02,$56.58,$56.21,$56.79,61.19,C+,B,B-,N/A,C+,B-,N/A,4.29,42.77%,17.39%,124.62,0.00%,3.35%
VTHR,Vanguard Russell 3000 ETF,Equity,"$676,888,500.00",9.67%,"16,903",$158.56,0.77%,No,No,4.10%,5.24%,21.24%,42.60%,88.81%,"$160,387,500.00","-$125,500.00","-$172,000.00","$139,468,500.00","$193,748,000.00","$296,314,500.00",Large Cap Growth Equities,2010-09-22,0.10%,Vanguard,$2.30,2020-09-11,$0.48,1.46%,22.40,1.03,1589,23.28%,35%,15%,1099,$146.29,$158.28,$158.06,$158.99,60.52,A-,B,A-,B+,A,B+,A,6.18,36.31%,56.62%,148.57,10.41%,6.68%
BSCP,Invesco BulletShares 2025 Corporate Bond ETF,Bond,"$667,013,175.00",6.42%,"170,982",$22.39,0.00%,No,No,0.02%,-0.21%,7.43%,18.32%,N/A,"$251,127,027.00","$6,714,090.00","$20,190,942.00","$328,000,200.00","$546,816,576.00","$623,638,129.50",Corporate Bonds,2015-10-07,0.10%,N/A,$0.60,2020-09-21,$0.04,2.68%,0.00,0.18,326,15.23%,39%,20%,1099,$22.31,$22.46,$22.38,$22.42,53.51,C+,B-,B-,N/A,N/A,C+,C+,5.16,39.16%,33.11%,163.51,7.30%,3.79%
PTH,Invesco DWA Healthcare Momentum ETF,Equity,"$662,538,065.00",54.36%,"53,652",$147.72,1.67%,No,No,9.24%,22.29%,92.43%,114.80%,183.37%,"$353,342,148.50","$159,983,616.00","$142,058,086.00","$369,211,237.50","$327,363,383.00","$297,034,678.00",Health & Biotech Equities,2006-10-12,0.60%,N/A,$0.00,2013-12-20,$0.03,0.00%,-104.63,1.25,50,47.75%,35%,15%,1099,$125.78,$146.15,$146.60,$148.37,65.87,B+,B-,C+,B+,A,B+,A-,5.21,29.47%,33.81%,27.14,0.00%,11.36%
BSJM,Invesco BulletShares 2022 High Yield Corporate Bond ETF,Bond,"$662,066,520.00",-2.45%,"218,141",$23.07,0.00%,No,No,0.61%,0.94%,-0.62%,6.13%,26.23%,"$53,011,321.00",$0.00,"-$16,124,108.00","$167,069,848.00","$579,674,004.00","$699,802,333.00",High Yield Bonds,2014-09-17,0.42%,Charles Schwab,$1.05,2020-09-21,$0.08,4.54%,0.00,0.34,123,28.77%,35%,15%,1099,$22.65,$23.09,$23.03,$23.11,64.07,N/A,N/A,B+,N/A,N/A,C+,B,3.17,45.59%,7.44%,109.37,3.41%,2.16%
SPYX,SPDR S&P 500 Fossil Fuel Reserves Free ETF,Equity,"$662,064,203.00",10.82%,"22,948",$86.27,0.98%,No,No,3.88%,4.32%,21.89%,47.13%,N/A,"$171,260,737.10","$4,876,649.30","$32,519,445.90","$209,441,774.40","$378,350,951.20","$516,996,934.70",Large Cap Growth Equities,2015-11-30,0.20%,N/A,$1.24,2020-09-21,$0.26,1.46%,24.13,0.99,488,28.42%,39%,20%,1099,$80.24,$86.20,$85.86,$86.49,59.18,N/A,B+,A-,N/A,N/A,C,N/A,6.68,70.31%,73.48%,149.1,11.99%,6.08%
IWX,iShares Russell Top 200 Value ETF,Equity,"$660,616,186.00",-8.00%,"135,132",$52.80,0.28%,No,No,3.50%,2.68%,0.94%,12.84%,44.14%,"$201,072,252.00","-$7,647,787.50","-$2,487,303.50","$228,868,395.00","$404,338,211.00","$461,212,993.00",Large Cap Blend Equities,2009-09-22,0.20%,N/A,$1.44,2020-09-23,$0.30,2.74%,16.02,0.96,154,25.76%,35%,15%,1099,$49.59,$53.03,$52.64,$52.98,58.74,B+,B-,A-,B,B,B+,B,6.09,32.22%,53.46%,238.76,14.20%,5.03%
LDUR,PIMCO Low Duration ETF,Bond,"$653,174,355.00",4.02%,"57,027",$102.05,0.02%,No,No,0.02%,0.19%,4.55%,10.02%,14.80%,"$208,395,093.20",$0.00,"$44,836,531.40","$240,402,473.00","$521,493,391.80","$475,343,684.30",Total Bond Market,2014-01-22,0.79%,N/A,$2.65,2020-10-01,$0.18,2.60%,0.00,0.06,218,93.82%,39%,20%,1099,$101.81,$102.10,$101.97,$102.10,63.85,B-,B-,C,B+,B+,A-,B-,5.66,61.19%,41.49%,163.2,3.05%,0.58%
GIGB,Goldman Sachs Access Investment Grade Corporate Bond ETF,Bond,"$648,656,938.00",7.34%,"61,138",$55.28,0.27%,No,No,0.14%,0.01%,9.06%,21.42%,N/A,"$82,141,728.50","$5,511,223.00","$47,187,935.50","$136,997,815.00","$424,055,768.50","$546,844,419.50",Corporate Bonds,2017-06-06,0.14%,N/A,$1.55,2020-10-01,$0.11,2.82%,0.00,0.19,153,13.84%,39%,20%,1099,$54.81,$55.67,$55.16,$55.34,50.22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.53,34.57%,38.85%,126.41,10.54%,3.49%
JKG,iShares Morningstar Mid-Cap ETF,Equity,"$647,837,125.00",1.74%,"4,988",$210.86,0.25%,No,No,3.79%,6.18%,10.16%,24.82%,56.67%,"-$85,446,031.00","-$9,835,816.00","-$9,835,816.00","-$54,842,048.50","-$211,714,195.00","-$75,644,938.00",Mid Cap Blend Equities,2004-06-28,0.25%,N/A,$2.62,2020-09-23,$0.68,1.24%,20.62,1.13,168,12.79%,35%,15%,1099,$192.54,$211.43,$210.55,$211.47,62.68,C+,C+,B+,C,A-,C+,C+,5.38,89.09%,36.51%,154.92,4.62%,6.99%
STPZ,PIMCO 1-5 Year U.S. TIPS Index Fund,Bond,"$645,436,309.00",4.21%,"48,044",$53.77,0.07%,No,No,0.26%,0.31%,5.16%,9.46%,11.74%,"-$78,118,232.50",$0.00,"$13,465,672.00","-$99,051,170.50","-$425,225,286.50","-$551,493,093.00",Inflation-Protected Bonds,2009-08-20,0.20%,TD Ameritrade,$1.20,2020-10-01,$0.25,2.23%,0.00,0.06,16,79.03%,35%,15%,1099,$53.53,$53.76,$53.74,$53.79,65.33,B+,A-,B,A,A-,C,B-,6.58,93.33%,70.36%,0.0,0.00%,0.00%
PKW,Invesco BuyBack Achievers™ ETF,Equity,"$645,358,536.00",-7.23%,"41,682",$62.96,0.46%,No,No,4.39%,3.66%,4.42%,16.65%,46.39%,"-$570,415,842.00","-$2,920,431.00","-$18,241,574.00","-$397,359,932.50","-$717,515,982.00","-$2,052,906,706.00",Large Cap Blend Equities,2006-12-20,0.62%,Charles Schwab,$1.10,2020-09-21,$0.23,1.76%,14.60,1.16,242,45.48%,35%,15%,1099,$58.19,$63.18,$62.75,$63.17,59.10,B+,A,B-,B-,B,B,B+,5.04,7.08%,31.56%,117.19,1.81%,5.45%
VTC,Vanguard Total Corporate Bond ETF,Bond,"$644,827,500.00",6.34%,"62,864",$92.19,0.12%,No,No,0.03%,-0.27%,7.53%,N/A,N/A,"$306,397,400.00","$6,455,900.00","$27,799,900.00","$416,718,900.00","$609,310,900.00","$609,310,900.00",Corporate Bonds,2017-11-09,0.05%,N/A,$2.45,2020-10-01,$0.20,2.66%,0.00,0.20,4,100.00%,39%,20%,1099,$91.64,$92.84,$92.02,$92.30,48.96,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.34,23.46%,35.77%,304.46,11.32%,3.36%
UDOW,ProShares UltraPro Dow30,Equity,"$642,922,150.00",-31.52%,"2,605,820",$84.79,1.75%,No,3x,9.93%,9.66%,-14.83%,17.60%,186.01%,"$434,499,438.50","-$32,454,580.00","-$64,997,763.00","$397,864,427.50","$440,094,966.50","$445,059,608.00",Leveraged Equities,2010-02-09,0.95%,N/A,$0.36,2020-06-24,$0.00,0.43%,0.00,3.09,31,53.79%,35%,15%,1099,$69.57,$85.48,$83.63,$85.73,58.40,B+,A-,C+,B-,B,N/A,N/A,6.26,59.85%,59.25%,41.56,3.95%,2.22%
PPA,Invesco Aerospace & Defense ETF,Equity,"$640,030,884.00",-14.42%,"53,806",$57.90,-0.33%,No,No,2.65%,1.58%,-11.75%,13.55%,77.91%,"-$241,546,882.50","-$8,547,257.00","-$25,889,202.00","-$230,701,452.00","-$160,841,639.00","$192,557,002.50",Industrials Equities,2005-10-26,0.59%,N/A,$0.64,2020-09-21,$0.10,1.11%,23.50,1.07,53,57.40%,35%,15%,1099,$54.72,$58.89,$57.70,$58.31,54.02,B+,A-,B-,A,A,B,B-,6.29,64.95%,60.63%,67.84,80.53%,0.25%
CFO,VictoryShares US 500 Enhanced Volatility Weighted ETF,Equity,"$634,677,213.00",9.10%,"29,727",$56.96,0.58%,No,No,4.49%,5.75%,19.49%,28.38%,69.30%,"-$102,491,420.00",$0.00,"$2,757,075.00","-$174,622,196.00","$47,541,231.50","$380,173,796.50",Large Cap Growth Equities,2014-07-01,0.35%,N/A,$0.57,2020-10-07,$0.07,1.00%,23.78,0.76,501,3.38%,35%,15%,1099,$52.18,$56.82,$56.82,$57.13,63.82,B+,B+,B,B+,A-,B-,N/A,6.09,32.03%,53.33%,297.75,4.11%,3.20%
ARKQ,ARK Industrial Innovation ETF,Equity,"$632,286,041.00",68.17%,"224,589",$62.46,3.04%,No,No,8.89%,9.39%,99.55%,95.30%,249.61%,"$329,713,690.00","-$5,408,658.00","$40,692,876.00","$329,945,983.50","$408,158,388.00","$454,533,995.00",All Cap Equities,2014-09-30,0.75%,N/A,$0.00,2018-12-27,$0.55,0.00%,31.64,1.39,39,51.24%,35%,15%,1099,$53.70,$61.75,$61.85,$62.81,64.69,N/A,N/A,C,N/A,N/A,N/A,N/A,6.24,62.89%,58.56%,27.96,12.72%,13.76%
PSC,Principal U.S. Small Cap Index ETF,Equity,"$631,994,597.00",-6.03%,"164,914",$30.24,0.07%,No,No,5.77%,6.60%,3.22%,3.97%,N/A,"$313,411,591.50",$0.00,"$8,993,689.50","$315,785,464.50","$391,704,542.50","$627,706,793.00",Small Cap Blend Equities,2016-09-21,0.38%,N/A,$0.45,2020-10-01,$0.11,1.50%,13.48,1.34,472,9.55%,39%,20%,1099,$26.63,$30.48,$30.16,$30.37,61.41,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.81,20.96%,12.27%,98.89,0.80%,5.46%
PWV,Invesco Dynamic Large Cap Value ETF,Equity,"$629,846,121.00",-12.95%,"54,562",$35.11,0.11%,No,No,3.24%,2.47%,-2.81%,-0.40%,34.22%,"-$318,154,535.00",$0.00,"-$13,812,603.00","-$205,183,418.50","-$637,716,393.50","-$504,640,364.00",Large Cap Blend Equities,2005-03-03,0.55%,N/A,$1.02,2020-09-21,$0.25,2.91%,12.28,0.98,51,34.24%,35%,15%,1099,$33.03,$35.26,$35.03,$35.26,57.84,B-,B+,B-,B-,B-,B,C,5.9,24.77%,47.15%,258.13,12.49%,4.72%
SWAN,Amplify BlackSwan Growth & Treasury Core ETF,Multi-Asset,"$627,418,440.00",11.83%,"216,670",$32.01,0.50%,No,No,1.07%,1.18%,16.79%,N/A,N/A,"$467,879,605.00","$1,585,830.00","$32,135,565.00","$492,449,665.00","$597,763,075.00","$597,763,075.00",Diversified Portfolio,2018-11-06,0.49%,N/A,$0.79,2020-09-28,$0.01,2.47%,22.51,0.28,7,100.00%,39%,20%,1099,$31.17,$32.15,$31.94,$32.06,53.67,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.58,60.40%,69.79%,2.9,0.00%,0.00%
EUFN,iShares MSCI Europe Financials ETF,Equity,"$627,111,004.00",-25.27%,"1,083,279",$14.40,0.00%,No,No,3.86%,-2.67%,-14.76%,-30.31%,-20.58%,"$21,811,467.50","-$45,906,169.00","-$51,903,253.00","$194,516,860.00","-$612,540,516.00","$701,602,193.50",Financials Equities,2010-01-20,0.48%,N/A,$0.35,2020-06-15,$0.17,2.45%,9.21,1.05,80,39.41%,35%,15%,1099,$13.08,$15.05,$14.32,$14.47,50.57,B+,A-,B-,A-,C+,B,A-,8.53,94.74%,98.49%,6.07,0.00%,0.61%
KXI,iShares Global Consumer Staples ETF,Equity,"$625,283,190.00",3.21%,"47,130",$56.62,0.87%,No,No,2.07%,1.49%,6.66%,19.62%,37.51%,"-$182,500,541.50",$0.00,"$19,473,890.00","-$234,328,313.00","$458,877,844.00","$402,893,866.50",Consumer Staples Equities,2006-09-21,0.46%,N/A,$1.19,2020-06-15,$0.58,2.11%,22.78,0.58,93,47.70%,35%,15%,1099,$54.21,$56.66,$56.41,$56.81,58.69,A-,B+,B,B,A,B+,A,6.83,68.00%,77.24%,53.78,18.45%,13.18%
FTXR,First Trust Nasdaq Transportation ETF,Equity,"$624,781,114.00",1.39%,"514,028",$24.77,0.04%,No,No,4.38%,4.51%,11.36%,4.16%,N/A,"$627,372,237.00","$3,501,671.50","$622,423,826.50","$626,144,771.00","$624,780,463.00","$625,995,903.50",Industrials Equities,2016-09-21,0.60%,N/A,$0.14,2020-06-25,$0.02,0.55%,24.36,1.39,31,60.26%,39%,20%,1099,$22.70,$25.07,$24.64,$24.87,61.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.93,31.96%,30.15%,215.04,0.00%,13.51%
CFA,VictoryShares US 500 Volatility Weighted Index ETF,Equity,"$620,936,831.00",2.02%,"42,361",$56.92,0.58%,No,No,4.46%,5.76%,11.60%,28.69%,70.33%,"-$221,153,124.00","-$2,628,814.50","-$32,426,166.00","-$146,581,270.00","$178,982,271.00","$503,263,554.00",Large Cap Growth Equities,2014-07-01,0.35%,N/A,$0.76,2020-10-07,$0.08,1.35%,23.78,1.06,501,3.34%,35%,15%,1099,$52.12,$56.77,$56.76,$57.11,63.88,B+,B+,B,B+,A-,B-,N/A,5.88,24.46%,46.84%,297.74,7.42%,5.76%
PEY,Invesco High Yield Equity Dividend Achievers™ ETF,Equity,"$611,448,226.00",-16.64%,"208,626",$15.24,-0.52%,No,No,4.31%,4.07%,-10.02%,0.46%,37.84%,"-$97,690,713.50",$0.00,"-$3,743,504.50","-$58,854,780.00","-$129,763,310.00","$55,780,302.00",All Cap Equities,2004-12-09,0.53%,N/A,$0.77,2020-09-21,$0.06,4.99%,12.31,0.99,51,29.40%,35%,15%,1099,$13.83,$15.42,$15.16,$15.40,59.05,A-,A-,B,A,A,A+,C+,5.99,39.30%,49.99%,594.32,14.25%,2.16%
FTA,First Trust Large Cap Value AlphaDEX Fund,Equity,"$609,083,649.00",-11.26%,"85,744",$49.26,-0.22%,No,No,4.26%,4.03%,1.35%,1.67%,34.81%,"-$322,938,890.00","-$7,020,214.50","-$11,665,038.50","-$356,435,237.00","-$298,841,033.50","-$541,870,676.81",Large Cap Value Equities,2007-05-08,0.60%,N/A,$1.06,2020-09-24,$0.26,2.14%,11.90,1.26,188,10.58%,35%,15%,1099,$44.90,$49.75,$49.09,$49.54,58.81,B-,A-,C+,C,C,B-,B,5.55,16.09%,39.27%,406.98,11.59%,4.58%
IYK,iShares U.S. Consumer Goods ETF,Equity,"$605,432,650.00",17.65%,"41,470",$154.40,0.92%,No,No,3.25%,5.20%,26.34%,35.77%,61.08%,"$37,242,901.50",$0.00,"-$89,763,055.00","$30,785,016.50","-$93,507,888.00","-$195,826,691.00",Large Cap Growth Equities,2000-06-12,0.42%,N/A,$2.65,2020-09-23,$0.78,1.74%,23.02,0.83,97,60.14%,35%,15%,1099,$144.16,$154.18,$153.64,$154.98,61.85,A-,B+,B,B+,B+,B,A,6.6,52.00%,70.85%,54.26,10.36%,23.79%
RPV,Invesco S&P 500® Pure Value ETF,Equity,"$596,703,293.00",-23.00%,"203,700",$52.02,-0.48%,No,No,4.84%,4.11%,-14.69%,-10.13%,13.95%,"-$147,173,623.50",$0.00,$0.00,"-$44,947,641.50","-$1,566,479.50","-$70,670,922.69",All Cap Equities,2006-03-07,0.35%,Charles Schwab,$1.45,2020-09-21,$0.30,2.77%,11.99,1.35,103,22.67%,35%,15%,1099,$47.19,$52.60,$51.75,$52.51,57.64,B-,A-,B,C,C,B,B-,4.93,5.85%,30.14%,184.31,8.67%,2.12%
EAGG,iShares ESG U.S. Aggregate Bond ETF,Bond,"$593,626,574.00",6.46%,"123,486",$56.35,0.00%,No,No,-0.23%,-0.56%,6.48%,N/A,N/A,"$431,698,398.00",$0.00,"$50,889,751.00","$501,756,045.00","$533,393,150.00","$533,393,150.00",Total Bond Market,2018-10-18,0.10%,N/A,$1.32,2020-09-01,$0.07,2.35%,0.00,-0.03,2616,16.11%,39%,20%,1099,$56.23,$56.80,$56.27,$56.39,42.96,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.94,98.15%,79.60%,126.21,2.91%,1.60%
TDTF,FlexShares iBoxx 5-Year Target Duration TIPS Index Fund,Bond,"$591,476,601.00",8.30%,"67,888",$27.51,0.00%,No,No,0.22%,0.12%,9.13%,16.66%,21.07%,"$27,123,098.00","-$1,375,854.00","$11,015,111.50","-$9,811,349.50","-$263,991,319.00","$108,331,898.60",Inflation-Protected Bonds,2011-09-19,0.18%,N/A,$0.28,2020-10-01,$0.05,1.03%,0.00,0.05,27,50.75%,35%,15%,1099,$27.39,$27.54,$27.49,$27.53,58.99,B+,B,A-,B+,A-,B,C+,6.58,93.33%,70.36%,0.0,0.00%,0.00%
LTPZ,PIMCO 15+ Year US TIPS Index Fund,Bond,"$588,448,283.00",21.99%,"125,926",$86.82,0.05%,No,No,-0.53%,-0.37%,22.18%,41.62%,55.17%,"$252,431,568.50","$4,371,728.00","$13,270,755.00","$266,779,480.50","$280,971,011.50","$395,336,403.00",Inflation-Protected Bonds,2009-09-03,0.20%,N/A,$1.67,2020-10-01,$0.30,1.93%,0.00,0.13,11,99.62%,35%,15%,1099,$86.00,$87.88,$86.43,$87.07,50.34,C,B-,B-,C,C,C+,C,6.58,93.33%,70.36%,0.0,0.00%,0.00%
FNX,First Trust Mid Cap Core AlphaDEX Fund,Equity,"$586,610,754.00",-0.90%,"25,567",$71.20,0.49%,No,No,5.78%,9.68%,9.38%,17.71%,46.84%,"-$194,314,050.50",$0.00,$0.00,"-$204,676,754.00","-$111,668,540.50","-$406,781,208.98",Small Cap Growth Equities,2007-05-08,0.61%,N/A,$0.91,2020-09-24,$0.25,1.29%,14.03,1.30,450,5.64%,35%,15%,1099,$62.57,$71.01,$70.87,$71.54,65.14,C,B+,C,B-,C,C,B-,4.22,39.27%,16.40%,166.76,3.98%,6.63%
MLPA,Global X MLP ETF,Equity,"$576,237,776.00",-36.56%,"311,876",$23.96,0.17%,No,No,8.37%,2.52%,-36.72%,-42.32%,-43.09%,"$101,495,551.80","$25,154.50","-$13,018,282.50","$303,267,332.80","$828,152,874.30","$1,379,324,231.30",MLPs,2012-04-18,0.45%,2 Platforms,$3.07,2020-08-07,$0.90,12.83%,28.85,1.94,20,67.90%,35%,15%,1099,$21.05,$24.36,$23.63,$24.26,51.27,A-,B,C,B-,A,A,A,2.11,6.02%,2.65%,481.85,0.00%,0.00%
XHE,SPDR S&P Health Care Equipment ETF,Equity,"$572,700,613.00",19.95%,"27,183",$102.74,0.95%,No,No,6.82%,9.33%,37.33%,59.76%,135.82%,"-$58,804,710.50",$0.00,"$2,587,256.00","-$100,572,944.25","$284,831,164.25","$362,840,632.25",Health & Biotech Equities,2011-01-26,0.35%,N/A,$0.00,2019-12-23,$0.00,0.03%,41.29,1.07,75,16.64%,35%,15%,1099,$91.22,$101.89,$102.12,$103.09,66.19,B,C,A,C,A,A-,B+,5.69,35.42%,41.89%,23.32,0.00%,22.85%
SECT,Main Sector Rotation ETF,Equity,"$571,677,800.00",6.30%,"67,839",$32.22,0.88%,No,No,4.01%,5.93%,13.99%,29.12%,N/A,"$6,044,204.50","-$1,515,623.00","-$7,584,817.50","$30,053,329.00","$322,955,815.00","$331,869,011.50",Large Cap Growth Equities,2017-09-05,0.83%,N/A,$0.53,2020-09-23,$0.04,1.64%,19.67,0.95,14,88.03%,39%,20%,1099,$29.71,$32.14,$32.05,$32.33,60.74,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.31,42.31%,61.09%,60.55,5.65%,9.39%
IVOL,Quadratic Interest Rate Volatility and Inflation Hedge ETF,Bond,"$570,076,868.00",11.82%,"369,415",$27.55,0.11%,No,No,0.62%,0.88%,11.85%,N/A,N/A,"$481,651,742.75","$21,143,384.25","$62,230,973.75","$502,576,931.50","$552,720,523.00","$552,720,523.00",Inflation-Protected Bonds,2019-05-13,0.99%,N/A,$0.99,2020-09-28,$0.08,3.62%,0.00,0.03,2,100.00%,N/A,N/A,N/A,$27.20,$27.52,$27.53,$27.57,59.89,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.58,54.67%,69.79%,2.9,0.00%,0.00%
CDC,VictoryShares US EQ Income Enhanced Volatility Weighted ETF,Equity,"$569,240,405.00",2.69%,"31,033",$49.31,-0.18%,No,No,3.51%,3.49%,12.73%,21.13%,59.48%,"-$79,594,955.50",$0.00,$0.00,"-$91,236,079.50","$30,255,870.00","$409,329,649.50",Large Cap Value Equities,2014-07-01,0.35%,N/A,$1.34,2020-10-07,$0.13,2.72%,17.75,0.71,101,34.06%,35%,15%,1099,$45.93,$49.49,$49.13,$49.60,60.72,B,B-,B+,N/A,A-,C+,N/A,6.26,39.91%,59.41%,667.54,11.07%,5.26%
